block,plots,VCP0.32,VCP0.71,VCP1.18,lo1inph,lo2inph,lo3inph,lo1err,lo2err,lo3err,HCP0.32,HCP0.71,HCP1.18,hi1inph,hi2inph,hi3inph,hi1err,hi2err,hi3err,repeat,treatment,name
1,25,22.11,24.56,29.87,2.92,3.14,3.46,0.1,0.1,0.2,21.26,27.17,37.25,3.01,3.31,3.78,0.2,0,0.1,1,47,Gladiator
1,25,21.87,24.71,30.06,2.89,3.12,3.44,0,0.1,0.2,22.63,27.94,36.83,3.02,3.31,3.83,0,0,0,2,47,Gladiator
1,25,23.55,25.54,31.14,2.88,3.13,3.46,0.1,0,0,24.52,29.8,39.11,3.03,3.29,3.73,0.3,0.1,0.8,3,47,Gladiator
1,26,22.58,24.93,29.39,2.89,3.1,3.39,0,0.1,0.2,22.29,28.33,35.78,3.1,3.33,3.79,0,0,0.1,1,51,Türkis 
1,26,23.78,25.29,29.21,2.86,3.08,3.38,0,0.2,0.3,21.56,26.86,34.42,3.14,3.34,3.81,0.1,0.1,0.1,2,51,Türkis 
1,26,24.31,24.74,28.53,2.88,3.12,3.43,0,0.1,0.4,21.7,26.99,34.03,3.07,3.32,3.77,0.1,0.1,0.3,3,51,Türkis 
1,27,21.08,23.29,26.59,2.89,3.14,3.42,0,0.3,0.4,19.72,26.23,34.67,3.11,3.35,3.74,0,0.1,0.3,1,8,Oakley
1,27,21.62,22.24,25.98,2.9,3.12,3.37,0,0.1,0.3,21.55,26.25,31.62,3.08,3.33,3.74,0,0.1,0.2,2,8,Oakley
1,27,23.14,20.95,24.47,2.93,3.17,3.48,0,0.1,0.3,20.53,24.72,30.67,3.08,3.33,3.82,0.1,0.1,0,3,8,Oakley
1,28,21.74,24.76,28.8,2.93,3.12,3.41,0,0,0,21.47,26.93,32.8,3.08,3.34,3.74,0.1,0,0.2,1,31,Cubanita (med)
1,28,21.82,22.6,26.48,2.88,3.13,3.38,0,0.1,0.3,19.67,24.33,31.7,3.07,3.4,3.73,0,0.2,0.1,2,31,Cubanita (med)
1,28,18.97,19.97,24.21,2.93,3.13,3.43,0,0.1,0.2,16.71,21.88,30.78,3.06,3.35,3.78,0.1,0.5,0,3,31,Cubanita (med)
1,29,19.3,21.46,25.79,2.9,3.1,3.39,0.1,0.4,0.1,17.69,23.95,32.51,3.06,3.33,3.79,0,0.2,0.5,1,59,Helmond
1,29,21.72,23.55,27.75,2.89,3.14,3.43,0.4,0.2,0.3,19.06,25.35,34.16,3.12,3.37,3.8,0,0.1,0,2,59,Helmond
1,29,23.47,25.63,29.86,2.89,3.13,3.42,0.1,0.2,0,19.59,26.72,35.65,3.11,3.34,3.76,0,0.5,0,3,59,Helmond
1,30,20.91,22.45,27.78,2.87,3.12,3.35,0.1,0.1,0,19.7,28.45,37.07,3.07,3.36,3.95,0,0.1,0.1,1,2,Cordiale
1,30,24.64,23.22,28.21,2.97,3.16,3.45,0,0,0,19.67,24.9,34.23,3.08,3.23,3.76,0.1,0.1,0.1,2,2,Cordiale
1,30,20.75,23.22,27.88,2.9,3.11,3.41,0.1,0.5,0.5,20.47,27.12,35.75,3.08,3.3,3.78,0.1,0,0.1,3,2,Cordiale
1,31,21.01,23.84,27.75,2.88,2.99,3.09,0.1,0.1,0.2,20.78,27.02,33.7,3.04,3.18,3.7,0.1,0.3,0,1,38,Reflection (short)
1,31,24.54,24.75,27.38,2.76,2.57,2.78,0.3,0.6,0.4,20.61,27.05,33.96,2.98,3.19,3.69,0.1,0.1,0.3,2,38,Reflection (short)
1,31,20.78,23.01,27.13,2.93,3.12,3.39,0,0,0.1,19.7,25.29,32.33,3.02,3.3,3.73,0,0.4,0.1,3,38,Reflection (short)
1,32,21.68,25.83,31.29,2.88,3.1,3.42,0.1,0.2,0.1,21.38,29.56,38.41,3.07,3.33,3.79,0.1,0.1,0.2,1,14,Scout
1,32,23.64,26.54,31.89,2.87,3.12,3.43,0.1,0.1,0.2,22.56,31.36,41.35,3.1,3.31,3.8,0,0,0.2,2,14,Scout
1,32,23.57,27.4,32.87,2.9,3.13,3.44,0,0.2,0.2,23.56,30.66,40.54,3.13,3.33,3.78,0.8,0.2,0.2,3,14,Scout
1,33,22.52,27.11,32.44,2.88,3.07,3.31,0.1,0.1,0,23.68,31.13,39.65,3.07,3.28,3.72,0.1,0,0,1,61,SY 11DE11228
