x,y,VCP0.32,VCP0.71,VCP1.18,VCP0.32_inph,VCP0.71_inph,VCP1.18_inph,HCP0.32,HCP0.71,HCP1.18,HCP0.32_inph,HCP0.71_inph,HCP1.18_inph
12,3,17.2237777777778,14.3,16.11,1.82,1.91,2.2,17.22,16.48,19.91,2.16,2.26,2.68
13,3,18.8442222222222,15.03,17.05,1.81,1.91,2.16,18.17,16.94,20.4,2.14,2.23,2.61
14,3,19.6446666666667,16.51,18.63,1.79,1.88,2.17,18.09,18.47,21.43,2.15,2.26,2.64
15,3,18.8924444444444,16.35,17.68,1.89,2.01,2.26,21.75,19.07,20.29,2.12,2.16,2.52
16,3,28.3728888888889,18.07,19.22,1.81,1.91,2.18,23.98,20.98,22.95,2.07,2.08,2.42
17,3,19.5633333333333,17.08,19.12,1.83,1.99,2.25,23.38,20.73,23.11,2.06,2.11,2.44
18,3,20.8011111111111,16.21,17.33,1.78,1.87,2.11,19.26,17.88,19.57,2.16,2.26,2.6
19,3,20.8215555555556,16.02,17.63,1.8,1.88,2.14,19.18,17.98,19.99,2.2,2.26,2.6
20,3,22.092,17.14,18.06,1.78,1.84,2.13,20.29,18.32,20.76,2.18,2.26,2.57
21,3,17.9097777777778,12.72,13.44,1.82,1.89,2.14,16.06,14.1,17.18,2.17,2.24,2.61
22,3,17.7902222222222,12.1,13.81,1.8,1.89,2.16,15.75,14.12,16.83,2.18,2.25,2.63
23,3,18.6406666666667,13.44,14.28,1.82,1.89,2.15,15.54,14.01,16.99,2.16,2.24,2.61
24,3,22.7984444444444,17.8,19.39,1.78,1.86,2.13,20.45,19.38,22.66,2.16,2.25,2.66
25,3,22.2388888888889,17.9,19.89,1.76,1.92,2.17,20.61,19.99,22.53,2.15,2.23,2.7
26,3,19.4493333333333,14.3,15.99,1.8,1.91,2.16,16.93,15.79,18.94,2.19,2.24,2.64
27,3,27.7971111111111,17.05,17.42,1.76,1.9,2.21,20.28,18.42,20.34,2.16,2.27,2.67
28,3,24.7175555555556,18.65,19.23,1.75,1.89,2.15,21.48,18.82,21.15,2.17,2.28,2.67
29,3,24.748,18.02,18.78,1.77,1.88,2.13,21.56,18.55,20.83,2.16,2.27,2.69
30,3,NaN,18.02,18.78,1.77,1.88,2.13,21.56,18.55,20.83,2.16,2.27,2.69
