VCP0.32,VCP0.71,VCP1.18,HCP0.32,HCP0.71,HCP1.18,VCP0.32_inph,VCP0.71_inph,VCP1.18_inph,HCP0.32_inph,HCP0.71_inph,HCP1.18_inph,plot,name,block
18.3,20.77,25.38,20.81,31.29,39.31,3.36,3.6,3.86,3.64,3.83,4.38,49,var48,1
17.76,18.63,22.6,19.17,26.51,32.77,3.31,3.58,3.86,3.62,3.83,4.38,50,var49,1
17.75,19.14,23.79,18.57,26.28,33.24,3.31,3.54,3.84,3.62,3.8,4.37,50,var49,1
17.36,20.02,25.48,18.46,28.0,35.84,3.33,3.53,3.8,3.58,3.79,4.4,50,var49,1
16.81,18.75,22.89,19.19,26.97,33.03,3.32,3.57,3.87,3.59,3.83,4.43,51,var50,1
16.32,18.26,23.26,18.35,27.46,35.45,3.31,3.55,3.87,3.6,3.87,4.41,51,var50,1
16.06,18.22,23.03,17.28,26.47,34.27,3.35,3.58,3.89,3.65,3.86,4.38,51,var50,1
15.5,16.57,21.83,17.93,25.79,32.28,3.32,3.55,3.83,3.55,3.72,4.12,52,var51,1
15.26,17.03,21.81,15.94,25.52,33.28,3.33,3.56,3.86,3.58,3.76,4.16,52,var51,1
15.56,16.98,21.95,16.7,26.21,34.04,3.32,3.55,3.82,3.68,3.82,4.23,52,var51,1
16.91,17.65,22.56,19.31,27.33,33.99,3.27,3.45,3.78,3.57,3.82,4.47,53,var52,1
21.83,17.82,23.06,19.43,27.22,32.6,3.15,3.38,3.69,3.52,3.76,4.59,53,var52,1
16.53,17.49,21.82,17.99,25.44,31.34,3.23,3.33,3.65,3.57,3.89,4.44,53,var52,1
15.27,16.88,21.19,16.9,24.18,30.48,3.33,3.56,3.79,3.6,3.76,4.2,54,var53,1
18.07,18.88,23.5,17.98,26.68,33.19,3.28,3.5,3.79,3.68,3.84,4.33,54,var53,1
18.1,20.02,24.89,19.38,29.62,36.76,3.31,3.55,3.8,3.67,3.84,4.32,54,var53,1
20.46,22.35,26.62,21.96,30.44,36.76,3.29,3.54,3.83,3.6,3.84,4.4,55,var54,1
20.76,22.67,27.51,23.01,32.45,39.58,3.28,3.52,3.85,3.67,3.9,4.5,55,var54,1
20.24,22.58,27.36,22.22,32.13,40.24,3.31,3.54,3.86,3.66,3.87,4.45,55,var54,1
