layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,depth1,depth2,depth3,depth4,depth5,depth6,depth7,depth8,depth9,depth10,depth11,depth12,depth13,
22.24149819,20.83810873,17.73364072,14.20858198,10.89633229,8.363301832,6.804109682,6.044852808,5.814967727,5.882698982,6.079396924,6.300800202,6.497725796,6.656460095,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
23.97104298,23.32905634,20.66030329,16.47337902,12.29241189,9.141603437,7.205649229,6.223162611,5.865790709,5.868200223,6.039741499,6.258213906,6.461617989,6.628222973,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
20.66030329,20.92181518,19.76245529,16.72017121,12.93493727,9.704027171,7.559150352,6.397543343,5.923117929,5.862351976,6.008171113,6.222000996,6.42921435,6.602839221,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
15.19756839,16.25778341,16.60853679,15.46957907,12.93192634,10.07110198,7.867201636,6.56512605,5.984082341,5.8630394,5.983008257,6.191183754,6.40163882,6.580246101,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
15.14119161,15.98899957,16.24932972,15.44425397,13.30973074,10.54218455,8.203445447,6.740361283,6.048874909,5.868544601,5.963384817,6.165228113,6.377957778,6.561249262,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
11.01212435,14.10297996,15.67054251,15.66833273,13.95342347,11.15225052,8.582217645,6.92089418,6.112843083,5.875785886,5.947778505,6.144015729,6.358087487,6.544930951,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
11.93203513,14.37525157,15.22070015,15.60963427,14.50789229,11.7568219,8.940545373,7.078142695,6.164088023,5.879931793,5.934013767,6.126324818,6.341958397,6.532105298,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
8.382229673,12.34750827,13.92971068,15.17865274,14.85155867,12.20658423,9.189487227,7.173086579,6.187735907,5.875440658,5.920312593,6.111722283,6.329514526,6.52273172,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
14.49758615,18.2855471,16.35510197,16.11863314,15.33930544,12.44198923,9.263547939,7.181328546,6.176652254,5.860634121,5.906674542,6.100536847,6.321112516,6.51678071,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
17.03258333,20.8142536,18.12875039,17.157073,15.6838143,12.40463934,9.160025648,7.109847138,6.137605106,5.840098114,5.895878781,6.094588006,6.317917614,6.515082416,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
16.16004913,22.0852934,21.04244261,19.17030903,16.23640201,12.27039032,8.968609865,7.000840101,6.090133983,5.823433496,5.892751915,6.096445772,6.321112516,6.518055012,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
34.21259708,31.48812898,26.70298272,22.09017208,16.97965837,12.17107665,8.793527963,6.907985631,6.05877007,5.822416303,5.902490851,6.108362348,6.331919205,6.5269891,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
19.75269624,24.31019813,26.40682352,23.30350485,17.40401685,12.11856807,8.698677801,6.869547297,6.063545962,5.845902023,5.929791271,6.132711885,6.35122261,6.541505855,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
33.46720214,31.55768745,30.2553552,24.91342585,17.85044894,12.19348624,8.719155986,6.905600442,6.113590512,5.897965202,5.975857536,6.169412055,6.378771449,6.56167979,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
28.81097122,28.95445464,29.09852761,24.81081752,18.05543017,12.37072591,8.847991506,7.010656197,6.205013651,5.975857536,6.038647343,6.216972334,6.413545408,6.58631364,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
32.86446694,32.43699114,31.16429818,25.81311306,18.57320629,12.67443187,9.048954846,7.16075904,6.32431065,6.07127679,6.112469438,6.271951831,6.453278265,6.61419406,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
33.89830508,33.12135665,31.32243313,25.92083776,18.79063475,12.90955565,9.248127254,7.321180174,6.453278265,6.173220569,6.191183754,6.330315883,6.494771709,6.643635397,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
