Easting (m),Northing (m),VCP1.48,VCP2.82,VCP4.49,HCP1.48,HCP2.82,HCP4.49,Stage (m),Distance (m)
358853.6102,524360.6484,26.9778907467496,17.8531239009757,15.2048216526817,12.6751593245614,9.01863485826078,7.53109348938503,0.477675841,58.3722945909338
358853.4623,524360.2417,26.9512240799387,17.7178490439016,14.9552114336198,12.2845821480159,8.90266823792706,7.77581455665017,0.412538226,58.8050523753132
358853.3182,524359.7868,27.6423773104415,17.8134034414206,14.7988673915405,12.331079430938,8.89374772867062,7.91791066022347,0.516513761,59.2822303505178
358853.1857,524359.4189,27.7460228375766,17.8316130106238,14.8301809065924,12.37757671386,8.75101958056758,7.71266073283981,0.535881753,59.6732631623991
358853.1961,524359.2667,27.4023785412628,17.7427876683148,14.8589971189817,12.2845821480159,8.8223836546191,7.38110315783544,0.505912334,59.8258180705603
358853.0931,524358.9431,26.7287994282438,17.581999711582,14.8514633465983,12.3868761704445,8.75101958056758,7.39689161378803,0.410805301,60.165414831444
358853.0091,524358.7065,26.1460309400965,17.4746917806623,14.9103270469168,12.3496783441068,8.70641703428538,7.59424731319539,0.564118247,60.4164836666763
358853.0122,524358.5711,26.1173979182942,17.4701198873054,14.9128241411067,12.2938816046003,8.7331785620547,7.54688194533762,0.486544343,60.5519191494993
358853.0091,524358.343,26.0260250677857,17.4065990415962,14.9018909483437,12.2566837782626,8.59045041395166,7.61003576914798,0.479510703,60.7800402137979
358853.1498,524358.0802,25.9831837704205,17.4004963667177,14.9099028776023,12.0520957334054,8.57260939543878,7.36531470188285,0.368501529,61.0781347122552
358853.1273,524357.8541,25.4971262326922,17.3257463886079,14.9144048865282,11.8661066017171,8.54584786766946,7.23900705426214,0.606422018,61.3053514809755
358853.0949,524357.5985,25.3365636102214,17.3449674487479,14.9063685649415,11.8754060583015,8.43880175659218,7.55477617331392,0.276962283,61.5629968186295
